Date,Invalid,Valid,Impressions
2025-10-22,4,4,1
2025-10-23,4,4,2
2025-10-24,4,4,1
2025-10-25,4,4,1
2025-10-26,4,4,1
2025-10-27,4,4,4
2025-10-28,4,4,2
2025-10-29,3,3,0
2025-10-30,3,3,1
2025-10-31,2,2,5
2025-11-01,2,2,1
2025-11-02,2,2,6
2025-11-03,3,3,0
2025-11-04,3,3,1
2025-11-05,3,3,0
2025-11-06,3,3,3
2025-11-07,3,3,2
2025-11-08,4,4,0
2025-11-09,4,4,0
2025-11-10,4,4,0
2025-11-11,3,3,0
2025-11-12,3,3,0
2025-11-13,3,3,0
2025-11-14,4,4,0
2025-11-15,4,4,4
2025-11-16,4,4,0
2025-11-17,4,4,2
2025-11-18,4,4,1
2025-11-19,4,4,1
2025-11-20,3,3,0
2025-11-21,3,3,1
2025-11-22,3,3,1
2025-11-23,2,2,3
2025-11-24,3,3,0
2025-11-25,3,3,1
2025-11-26,3,3,1
2025-11-27,3,3,5
2025-11-28,3,3,2
2025-11-29,3,3,1
2025-11-30,4,4,4
2025-12-01,4,4,1
2025-12-02,4,4,4
2025-12-03,5,5,1
2025-12-04,5,5,2
2025-12-05,5,5,2
2025-12-06,5,5,0
2025-12-07,5,5,7
2025-12-08,5,5,1
2025-12-09,5,5,0
2025-12-10,5,5,0
2025-12-11,5,5,5
2025-12-12,5,5,1
2025-12-13,5,5,1
2025-12-14,5,5,2
2025-12-15,5,5,3
2025-12-16,5,5,1
2025-12-17,5,5,2
2025-12-18,5,5,2
2025-12-19,5,5,1
2025-12-20,5,5,2
2025-12-21,5,5,2
2025-12-22,5,5,0
2025-12-23,5,5,0
2025-12-24,5,5,0
2025-12-25,5,5,1
2025-12-26,5,5,0
2025-12-27,5,5,1
2025-12-28,5,5,1
2025-12-29,4,4,0
2025-12-30,3,3,0
2025-12-31,3,3,0
2026-01-01,2,2,0
2026-01-02,1,1,0
2026-01-03,1,1,0
2026-01-04,0,0,0
2026-01-05,0,0,0
2026-01-06,0,0,0
2026-01-07,0,0,0
2026-01-08,0,0,0
2026-01-09,0,0,0
2026-01-10,0,0,0
2026-01-11,0,0,0
2026-01-12,0,0,0
2026-01-13,0,0,0
2026-01-14,0,0,0
2026-01-15,0,0,0
2026-01-16,0,0,0
2026-01-17,0,0,0
2026-01-18,0,0,
